代码,名称,当前价,ATR,突破信号,建议手数,止损价,潜在突破位(20日最高价),距离突破%,最新日期,加仓机会,加仓目标价列表,PE,PB,ROE
000001,平安银行,10.68,0.143,False,69900,10.39,11.6,8.61,2026-05-22,False,[],N/A,N/A,
000002,万  科Ａ,3.46,0.109,False,91900,3.24,4.16,20.23,2026-05-22,False,[],N/A,N/A,
000063,中兴通讯,35.64,1.397,False,7100,32.85,40.2,12.79,2026-05-22,False,[],N/A,N/A,
000100,TCL科技,4.38,0.15,False,66800,4.08,4.65,6.16,2026-05-22,False,[],N/A,N/A,
000157,中联重科,7.3,0.263,False,38000,6.77,8.44,15.62,2026-05-22,False,[],N/A,N/A,
000166,申万宏源,4.42,0.087,False,114300,4.25,4.82,9.05,2026-05-22,False,[],N/A,N/A,
000301,东方盛虹,12.39,0.449,False,22200,11.49,13.48,8.8,2026-05-22,False,[],N/A,N/A,
000333,美的集团,80.28,1.62,False,6100,77.04,83.44,3.94,2026-05-22,False,[],N/A,N/A,
000338,潍柴动力,34.01,1.617,False,6100,30.78,35.85,5.41,2026-05-22,False,[],N/A,N/A,
000408,藏格矿业,80.96,3.498,False,2800,73.96,92.88,14.72,2026-05-22,False,[],N/A,N/A,
000425,徐工机械,9.65,0.441,False,22600,8.77,11.06,14.61,2026-05-22,False,[],N/A,N/A,
000538,云南白药,49.8,0.598,False,16700,48.6,55.06,10.56,2026-05-22,False,[],N/A,N/A,
000568,泸州老窖,90.02,2.481,False,4000,85.06,103.55,15.03,2026-05-22,False,[],N/A,N/A,
000596,古井贡酒,92.25,3.382,False,2900,85.49,111.7,21.08,2026-05-22,False,[],N/A,N/A,
000617,中油资本,8.13,0.334,False,29900,7.46,9.54,17.34,2026-05-22,False,[],N/A,N/A,
000625,长安汽车,8.44,0.177,False,56300,8.09,10.19,20.73,2026-05-22,False,[],N/A,N/A,
000630,铜陵有色,6.36,0.292,False,34200,5.78,7.2,13.21,2026-05-22,False,[],N/A,N/A,
000651,格力电器,38.74,0.619,False,16100,37.5,40.88,5.52,2026-05-22,False,[],N/A,N/A,
000661,长春高新,79.0,1.807,False,5500,75.39,90.0,13.92,2026-05-22,False,[],N/A,N/A,
000708,中信特钢,14.24,0.432,False,23100,13.38,16.74,17.56,2026-05-22,False,[],N/A,N/A,
000725,京东方Ａ,5.16,0.147,True,67900,4.87,5.16,0.0,2026-05-22,True,"[5.23, 5.31, 5.38]",N/A,N/A,
000768,中航西飞,21.75,0.692,False,14400,20.37,25.79,18.57,2026-05-22,False,[],N/A,N/A,
000776,广发证券,19.05,0.595,False,16800,17.86,21.73,14.07,2026-05-22,False,[],N/A,N/A,
000786,北新建材,23.78,0.779,False,12800,22.22,27.06,13.79,2026-05-22,False,[],N/A,N/A,
000792,盐湖股份,32.84,1.604,False,6200,29.63,41.6,26.67,2026-05-22,False,[],N/A,N/A,
000807,云铝股份,30.76,1.344,False,7400,28.07,34.96,13.65,2026-05-22,False,[],N/A,N/A,
000858,五 粮 液,84.03,1.831,False,5400,80.37,102.3,21.74,2026-05-22,False,[],N/A,N/A,
000876,新 希 望,8.11,0.173,False,57700,7.76,8.9,9.74,2026-05-22,False,[],N/A,N/A,
000895,双汇发展,25.73,0.578,False,17300,24.57,29.28,13.8,2026-05-22,False,[],N/A,N/A,
000938,紫光股份,29.86,1.696,False,5800,26.47,34.49,15.51,2026-05-22,False,[],N/A,N/A,
000963,华东医药,29.22,0.787,False,12700,27.65,35.59,21.8,2026-05-22,False,[],N/A,N/A,
000975,山金国际,23.89,1.29,False,7700,21.31,30.31,26.87,2026-05-22,False,[],N/A,N/A,
000977,浪潮信息,68.25,3.815,False,2600,60.62,79.49,16.47,2026-05-22,False,[],N/A,N/A,
000983,山西焦煤,6.41,0.192,False,52000,6.03,7.33,14.35,2026-05-22,False,[],N/A,N/A,
000999,华润三九,24.44,0.388,False,25700,23.66,27.47,12.4,2026-05-22,False,[],N/A,N/A,
001391,国货航,5.23,0.089,False,112800,5.05,5.63,7.65,2026-05-22,False,[],N/A,N/A,
001965,招商公路,10.01,0.216,False,46300,9.58,10.15,1.4,2026-05-22,False,[],N/A,N/A,
001979,招商蛇口,8.48,0.342,False,29200,7.8,10.03,18.28,2026-05-22,False,[],N/A,N/A,
002001,新 和 成,31.59,1.322,False,7500,28.95,35.6,12.69,2026-05-22,False,[],N/A,N/A,
002027,分众传媒,5.51,0.158,False,63300,5.19,6.48,17.6,2026-05-22,False,[],N/A,N/A,
002028,思源电气,197.14,9.862,False,1000,177.42,232.28,17.82,2026-05-22,False,[],N/A,N/A,
002049,紫光国微,79.73,2.916,False,3400,73.9,82.96,4.05,2026-05-22,False,[],N/A,N/A,
002050,三花智控,54.05,2.078,False,4800,49.89,54.48,0.8,2026-05-22,False,[],N/A,N/A,
002074,国轩高科,35.3,1.393,False,7100,32.51,41.49,17.54,2026-05-22,False,[],N/A,N/A,
002142,宁波银行,31.09,0.675,False,14800,29.74,33.88,8.97,2026-05-22,False,[],N/A,N/A,
002179,中航光电,41.27,1.475,False,6700,38.32,42.8,3.71,2026-05-22,False,[],N/A,N/A,
002230,科大讯飞,47.35,1.469,False,6800,44.41,50.88,7.46,2026-05-22,False,[],N/A,N/A,
002236,大华股份,17.86,0.507,False,19700,16.85,18.86,5.6,2026-05-22,False,[],N/A,N/A,
002241,歌尔股份,25.56,0.812,False,12300,23.94,26.24,2.66,2026-05-22,False,[],N/A,N/A,
002252,上海莱士,5.23,0.089,False,112000,5.05,5.74,9.75,2026-05-22,False,[],N/A,N/A,
002304,洋河股份,43.61,0.908,False,11000,41.79,50.5,15.8,2026-05-22,False,[],N/A,N/A,
002311,海大集团,45.68,1.632,False,6100,42.42,51.1,11.87,2026-05-22,False,[],N/A,N/A,
002352,顺丰控股,35.15,0.617,False,16100,33.92,37.81,7.57,2026-05-22,False,[],N/A,N/A,
002371,北方华创,669.0,30.004,False,300,608.99,721.6,7.86,2026-05-22,False,[],N/A,N/A,
002384,东山精密,220.55,12.761,False,700,195.03,230.0,4.28,2026-05-22,False,[],N/A,N/A,
002415,海康威视,31.83,0.98,False,10100,29.87,37.09,16.53,2026-05-22,False,[],N/A,N/A,
002422,科伦药业,34.72,1.378,False,7200,31.96,35.57,2.45,2026-05-22,False,[],N/A,N/A,
002459,晶澳科技,9.83,0.416,False,24000,9.0,11.39,15.87,2026-05-22,False,[],N/A,N/A,
002460,赣锋锂业,75.9,3.842,False,2600,68.22,91.67,20.78,2026-05-22,False,[],N/A,N/A,
002463,沪电股份,114.07,5.523,False,1800,103.02,114.46,0.34,2026-05-22,False,[],N/A,N/A,
002466,天齐锂业,66.52,3.398,False,2900,59.72,82.49,24.01,2026-05-22,False,[],N/A,N/A,
