代码,名称,当前价,ATR,突破信号,建议手数,止损价,潜在突破位(20日最高价),距离突破%,最新日期,加仓机会,加仓目标价列表,PE,PB,ROE
000001,平安银行,10.79,0.141,False,71100,10.51,11.6,7.51,2026-05-26,False,[],N/A,N/A,
000002,万  科Ａ,3.39,0.109,False,92000,3.17,4.16,22.71,2026-05-26,False,[],N/A,N/A,
000063,中兴通讯,35.54,1.413,False,7000,32.71,40.2,13.11,2026-05-26,False,[],N/A,N/A,
000100,TCL科技,4.65,0.174,False,57500,4.3,4.73,1.72,2026-05-26,False,[],N/A,N/A,
000157,中联重科,7.44,0.243,False,41000,6.95,8.44,13.44,2026-05-26,False,[],N/A,N/A,
000166,申万宏源,4.5,0.09,False,111300,4.32,4.82,7.11,2026-05-26,False,[],N/A,N/A,
000301,东方盛虹,12.44,0.425,False,23500,11.59,13.48,8.36,2026-05-26,False,[],N/A,N/A,
000333,美的集团,79.55,1.643,False,6000,76.26,83.44,4.89,2026-05-26,False,[],N/A,N/A,
000338,潍柴动力,34.85,1.659,False,6000,31.53,35.85,2.87,2026-05-26,False,[],N/A,N/A,
000408,藏格矿业,84.24,3.769,False,2600,76.7,92.88,10.26,2026-05-26,False,[],N/A,N/A,
000425,徐工机械,9.61,0.434,False,23000,8.74,11.06,15.09,2026-05-26,False,[],N/A,N/A,
000538,云南白药,48.85,0.611,False,16300,47.63,54.85,12.28,2026-05-26,False,[],N/A,N/A,
000568,泸州老窖,90.78,2.677,False,3700,85.43,103.55,14.07,2026-05-26,False,[],N/A,N/A,
000596,古井贡酒,92.75,3.367,False,2900,86.02,111.7,20.43,2026-05-26,False,[],N/A,N/A,
000617,中油资本,7.94,0.293,False,34100,7.35,9.54,20.15,2026-05-26,False,[],N/A,N/A,
000625,长安汽车,8.3,0.19,False,52700,7.92,9.99,20.36,2026-05-26,False,[],N/A,N/A,
000630,铜陵有色,6.83,0.315,False,31700,6.2,7.2,5.42,2026-05-26,False,[],N/A,N/A,
000651,格力电器,38.88,0.641,False,15500,37.6,40.88,5.14,2026-05-26,False,[],N/A,N/A,
000661,长春高新,77.76,1.917,False,5200,73.93,90.0,15.74,2026-05-26,False,[],N/A,N/A,
000708,中信特钢,14.55,0.448,False,22300,13.65,15.86,9.0,2026-05-26,False,[],N/A,N/A,
000725,京东方Ａ,5.77,0.208,True,48000,5.35,5.8,0.52,2026-05-26,True,"[5.87, 5.98, 6.08]",N/A,N/A,
000768,中航西飞,22.32,0.672,False,14800,20.98,25.79,15.55,2026-05-26,False,[],N/A,N/A,
000776,广发证券,19.15,0.614,False,16200,17.92,21.73,13.47,2026-05-26,False,[],N/A,N/A,
000786,北新建材,23.09,0.752,False,13300,21.59,27.06,17.19,2026-05-26,False,[],N/A,N/A,
000792,盐湖股份,32.53,1.544,False,6400,29.44,41.6,27.88,2026-05-26,False,[],N/A,N/A,
000807,云铝股份,31.69,1.472,False,6700,28.75,34.82,9.88,2026-05-26,False,[],N/A,N/A,
000858,五 粮 液,83.36,1.853,False,5300,79.65,101.92,22.26,2026-05-26,False,[],N/A,N/A,
000876,新 希 望,8.01,0.161,False,62000,7.69,8.89,10.99,2026-05-26,False,[],N/A,N/A,
000895,双汇发展,24.52,0.621,False,16100,23.28,29.28,19.41,2026-05-26,False,[],N/A,N/A,
000938,紫光股份,28.9,1.91,False,5200,25.08,34.49,19.34,2026-05-26,False,[],N/A,N/A,
000963,华东医药,29.2,0.732,False,13600,27.74,35.59,21.88,2026-05-26,False,[],N/A,N/A,
000975,山金国际,25.37,1.254,False,7900,22.86,29.41,15.92,2026-05-26,False,[],N/A,N/A,
000977,浪潮信息,67.3,3.911,False,2500,59.48,79.49,18.11,2026-05-26,False,[],N/A,N/A,
000983,山西焦煤,6.56,0.211,False,47400,6.14,7.33,11.74,2026-05-26,False,[],N/A,N/A,
000999,华润三九,24.21,0.36,False,27700,23.49,27.29,12.72,2026-05-26,False,[],N/A,N/A,
001391,国货航,5.23,0.088,False,113800,5.05,5.63,7.65,2026-05-26,False,[],N/A,N/A,
001965,招商公路,10.19,0.217,True,46000,9.76,10.24,0.49,2026-05-26,True,"[10.3, 10.41, 10.52]",N/A,N/A,
001979,招商蛇口,8.7,0.348,False,28700,8.0,10.03,15.29,2026-05-26,False,[],N/A,N/A,
002001,新 和 成,31.59,1.271,False,7800,29.05,35.6,12.69,2026-05-26,False,[],N/A,N/A,
002027,分众传媒,5.53,0.15,False,66600,5.23,6.48,17.18,2026-05-26,False,[],N/A,N/A,
002028,思源电气,194.1,9.78,False,1000,174.54,226.6,16.74,2026-05-26,False,[],N/A,N/A,
002049,紫光国微,82.95,3.33,False,3000,76.29,85.07,2.56,2026-05-26,False,[],N/A,N/A,
002050,三花智控,54.44,2.218,False,4500,50.0,56.0,2.87,2026-05-26,False,[],N/A,N/A,
002074,国轩高科,34.26,1.332,False,7500,31.6,40.23,17.43,2026-05-26,False,[],N/A,N/A,
002142,宁波银行,30.93,0.642,False,15500,29.65,33.88,9.54,2026-05-26,False,[],N/A,N/A,
002179,中航光电,39.48,1.707,False,5800,36.07,42.8,8.41,2026-05-26,False,[],N/A,N/A,
002230,科大讯飞,49.25,1.537,False,6500,46.18,50.88,3.31,2026-05-26,False,[],N/A,N/A,
002236,大华股份,17.79,0.525,False,19000,16.74,18.86,6.01,2026-05-26,False,[],N/A,N/A,
002241,歌尔股份,27.3,0.949,True,10500,25.4,27.5,0.73,2026-05-26,True,"[27.77, 28.25, 28.72]",N/A,N/A,
002252,上海莱士,5.26,0.093,False,107300,5.07,5.74,9.13,2026-05-26,False,[],N/A,N/A,
002304,洋河股份,44.19,0.948,False,10500,42.29,50.45,14.17,2026-05-26,False,[],N/A,N/A,
002311,海大集团,47.1,1.702,False,5800,43.7,51.1,8.49,2026-05-26,False,[],N/A,N/A,
002352,顺丰控股,35.93,0.625,False,16000,34.68,37.81,5.23,2026-05-26,False,[],N/A,N/A,
002371,北方华创,670.25,38.05,False,200,594.15,721.6,7.66,2026-05-26,False,[],N/A,N/A,
002384,东山精密,221.2,13.412,False,700,194.38,230.0,3.98,2026-05-26,False,[],N/A,N/A,
002415,海康威视,32.0,1.023,False,9700,29.95,37.09,15.91,2026-05-26,False,[],N/A,N/A,
002422,科伦药业,35.23,1.425,False,7000,32.38,35.89,1.87,2026-05-26,False,[],N/A,N/A,
002459,晶澳科技,9.47,0.386,False,25900,8.7,11.39,20.27,2026-05-26,False,[],N/A,N/A,
002460,赣锋锂业,75.0,3.645,False,2700,67.71,91.67,22.23,2026-05-26,False,[],N/A,N/A,
002463,沪电股份,133.36,6.527,True,1500,120.31,134.79,1.07,2026-05-26,True,"[136.62, 139.89, 143.15]",N/A,N/A,
002466,天齐锂业,66.4,3.353,False,2900,59.69,82.49,24.23,2026-05-26,False,[],N/A,N/A,
002475,立讯精密,72.45,3.916,False,2500,64.62,81.78,12.88,2026-05-26,False,[],N/A,N/A,
002493,荣盛石化,11.74,0.58,False,17200,10.58,14.11,20.19,2026-05-26,False,[],N/A,N/A,
002594,比亚迪,96.55,2.429,False,4100,91.69,105.64,9.41,2026-05-26,False,[],N/A,N/A,
002600,领益智造,15.82,0.815,False,12200,14.19,17.88,13.02,2026-05-26,False,[],N/A,N/A,
002601,龙佰集团,15.33,0.609,False,16400,14.11,18.19,18.66,2026-05-26,False,[],N/A,N/A,
002625,光启技术,39.59,1.62,False,6100,36.35,43.08,8.82,2026-05-26,False,[],N/A,N/A,
002648,卫星化学,23.92,1.294,False,7700,21.33,30.2,26.25,2026-05-26,False,[],N/A,N/A,
002709,天赐材料,51.99,3.394,False,2900,45.2,64.98,24.99,2026-05-26,False,[],N/A,N/A,
002714,牧原股份,38.71,1.322,False,7500,36.07,45.39,17.26,2026-05-26,False,[],N/A,N/A,
002736,国信证券,10.24,0.221,False,45300,9.8,11.15,8.89,2026-05-26,False,[],N/A,N/A,
002916,深南电路,419.5,22.105,True,400,375.29,432.99,3.22,2026-05-26,True,"[430.55, 441.61, 452.66]",N/A,N/A,
002920,德赛西威,109.69,4.34,False,2300,101.01,113.0,3.02,2026-05-26,False,[],N/A,N/A,
002938,鹏鼎控股,116.0,6.665,True,1500,102.67,122.97,6.01,2026-05-26,True,"[119.33, 122.66, 126.0]",N/A,N/A,
003816,中国广核,4.61,0.146,False,68300,4.32,4.94,7.16,2026-05-26,False,[],N/A,N/A,
600000,浦发银行,9.27,0.166,False,60200,8.94,9.62,3.78,2026-05-26,False,[],N/A,N/A,
600009,上海机场,25.61,0.436,False,22900,24.74,27.78,8.47,2026-05-26,False,[],N/A,N/A,
600010,包钢股份,2.48,0.095,False,105400,2.29,2.9,16.94,2026-05-26,False,[],N/A,N/A,
600011,华能国际,7.51,0.219,False,45700,7.07,7.9,5.19,2026-05-26,False,[],N/A,N/A,
600015,华夏银行,6.75,0.112,False,88900,6.53,7.24,7.26,2026-05-26,False,[],N/A,N/A,
600016,民生银行,3.52,0.037,False,267300,3.45,3.77,7.1,2026-05-26,False,[],N/A,N/A,
600018,上港集团,5.08,0.064,False,155000,4.95,5.16,1.57,2026-05-26,False,[],N/A,N/A,
600019,宝钢股份,6.04,0.12,False,83500,5.8,6.55,8.44,2026-05-26,False,[],N/A,N/A,
600023,浙能电力,6.08,0.236,False,42300,5.61,6.77,11.35,2026-05-26,False,[],N/A,N/A,
600025,华能水电,9.5,0.211,False,47400,9.08,9.95,4.74,2026-05-26,False,[],N/A,N/A,
600026,中远海能,21.23,1.292,False,7700,18.65,23.99,13.0,2026-05-26,False,[],N/A,N/A,
600027,华电国际,5.18,0.141,False,70700,4.9,5.55,7.14,2026-05-26,False,[],N/A,N/A,
600028,中国石化,4.87,0.087,False,115200,4.7,5.5,12.94,2026-05-26,False,[],N/A,N/A,
600029,南方航空,5.6,0.164,False,60900,5.27,5.77,3.04,2026-05-26,False,[],N/A,N/A,
600030,中信证券,26.21,0.594,False,16800,25.02,27.84,6.22,2026-05-26,False,[],N/A,N/A,
600031,三一重工,18.88,0.701,False,14200,17.48,22.48,19.07,2026-05-26,False,[],N/A,N/A,
600036,招商银行,37.0,0.389,False,25600,36.22,39.99,8.08,2026-05-26,False,[],N/A,N/A,
600039,四川路桥,8.57,0.266,False,37600,8.04,10.13,18.2,2026-05-26,False,[],N/A,N/A,
600048,保利发展,5.85,0.186,False,53800,5.48,6.86,17.26,2026-05-26,False,[],N/A,N/A,
600050,中国联通,4.45,0.131,False,76500,4.19,5.11,14.83,2026-05-26,False,[],N/A,N/A,
600061,国投资本,6.53,0.145,False,69000,6.24,6.88,5.36,2026-05-26,False,[],N/A,N/A,
600066,宇通客车,32.76,1.195,False,8300,30.37,37.72,15.14,2026-05-26,False,[],N/A,N/A,
600085,同仁堂,25.23,0.445,False,22400,24.34,28.45,12.76,2026-05-26,False,[],N/A,N/A,
600089,特变电工,26.03,0.865,False,11500,24.3,29.67,13.98,2026-05-26,False,[],N/A,N/A,
600104,上汽集团,12.26,0.227,False,43900,11.81,13.97,13.95,2026-05-26,False,[],N/A,N/A,
600111,北方稀土,50.79,2.227,False,4400,46.34,57.96,14.12,2026-05-26,False,[],N/A,N/A,
600115,中国东航,4.44,0.182,False,54900,4.08,4.7,5.86,2026-05-26,False,[],N/A,N/A,
600150,中国船舶,38.69,1.535,False,6500,35.62,43.42,12.23,2026-05-26,False,[],N/A,N/A,
600160,巨化股份,35.76,1.646,False,6000,32.47,37.66,5.31,2026-05-26,False,[],N/A,N/A,
600161,天坛生物,13.27,0.323,False,30900,12.62,14.95,12.66,2026-05-26,False,[],N/A,N/A,
600176,中国巨石,41.28,2.312,True,4300,36.66,42.95,4.05,2026-05-26,True,"[42.44, 43.59, 44.75]",N/A,N/A,
600183,生益科技,128.17,6.484,True,1500,115.2,128.17,0.0,2026-05-26,True,"[131.41, 134.65, 137.9]",N/A,N/A,
600188,兖矿能源,20.65,1.009,False,9900,18.63,23.6,14.29,2026-05-26,False,[],N/A,N/A,
600219,南山铝业,5.68,0.237,False,42100,5.21,5.98,5.28,2026-05-26,False,[],N/A,N/A,
600233,圆通速递,18.91,0.692,False,14400,17.53,22.8,20.57,2026-05-26,False,[],N/A,N/A,
